Hello World
Using goldhelp.csv
=======
Gilmerton Primary School,GILM,10.211.32.73,FS726T, Gilmerton PS, Cab 3 Hut, 00-24-b2-5e-fc-e0
=======
Gracemount Primary School,GRAC,10.211.36.70,FS750T2, Gracemount PS, Main Cab, 00-22-3f-e1-de-d8
Gracemount Primary School,GRAC,10.211.36.71,FS726T, Gracemount PS, Cab 2, 00-24-b2-5e-fd-f0
Gracemount Primary School,GRAC,10.211.36.72,FS726T, Gracemount PS, Nursery, 00-18-4d-2e-21-11
=======
Granton Primary School,GRAN,10.228.8.70,GS724T,Unknown,Unknown,Unknown
Granton Primary School,GRAN,10.228.8.71,FS750T2, Granton PS, Main Cab 1_2, 00-22-3f-de-0a-b5
Granton Primary School,GRAN,10.228.8.72,FS750T2, Granton PS, Cab 2 (Comp Suite), 00-22-3f-e1-67-68
Granton Primary School,GRAN,10.228.8.74,FS726T, Grantn Primary annex, temp unit, 00-18-4d-2e-21-fc
=======
Gylemuir Primary School,GYLE,10.202.48.70,FS750T2, Gylemuir PS, Main Cab 1_1, 00-22-3f-de-0a-b2
Gylemuir Primary School,GYLE,10.202.48.71,FS726T, , Gylemuir PS Cab1-2, 00-14-6c-ec-a9-83
Gylemuir Primary School,GYLE,10.202.48.72,FS750T2, , Gylemuir PS Cab2-1, 00-14-6c-31-f6-d9
Gylemuir Primary School,GYLE,10.202.48.73,FS726T, , Gylemuir PS Cab2-2, 00-14-6c-ea-ac-1a
Gylemuir Primary School,GYLE,10.202.48.74,FS750T2, , Gylemuir PS Cab3, 00-14-6c-31-f7-00
=======
Hermitage Park Primary School,HERM,10.227.20.70,FS726T, Hermitage Pk PS, Main Cab, 00-24-b2-5e-fd-0f
Hermitage Park Primary School,HERM,10.227.20.71,FS726T, Hermitage Pk PS, Main Cabinet, 00-14-6c-ea-c1-48
Hermitage Park Primary School,HERM,10.227.20.72,FS726T, Hermitage Pk PS, Main Can, 00-24-b2-5e-fd-33
Hermitage Park Primary School,HERM,10.227.20.73,FS726T, Hermitage Pk PS, Main Cab, 00-24-b2-5e-fd-31
Hermitage Park Primary School,HERM,10.227.20.74,FS726T, Hermitage Pk PS, Main Cab, 00-24-b2-5e-fd-34
=======
Hillwood Primary School,HILL,10.202.52.70,FS750T2, Hillwood PS, Comms Cab, 10-0d-7f-bd-91-4e
=======
Holy Cross RC Primary School,HOLY,10.228.12.70,FS750T2, holy cross primary, edinburgh, 10-0d-7f-b2-a8-ed
Holy Cross RC Primary School,HOLY,10.228.12.71,FS726T, , Holycross PS Cab1-2, 00-14-6c-eb-a5-47
Holy Cross RC Primary School,HOLY,10.228.12.72,FS750T2, holycross primary, room 14, 84-1b-5e-91-53-19
=======
James Gillespie's Primary School,JAME,10.212.12.70,FS750T2, JGPS, Main Cab, e0-91-f5-95-8f-c5
James Gillespie's Primary School,JAME,10.212.12.71,FS750T2, JGPS, Main Cab, e0-91-f5-1f-82-20
James Gillespie's Primary School,JAME,10.212.12.72,FS726T, James Gillespies PS, CAB Nursary annexe, 00-14-6c-eb-a5-15
=======
Juniper Green Primary School,JUNI,10.203.44.70,FS726T, JG_PS_Cab_B_01, Cab_B_Ground_Floor, 00-18-4d-30-27-f5
Juniper Green Primary School,JUNI,10.203.44.71,FS750T2, JG_PS_Cab_B_02, Cab_B_Ground_Floor, 00-1e-2a-c9-8e-27
Juniper Green Primary School,JUNI,10.203.44.72,FS750T2, JG_PS_Cab_B_03, Cab B-Ground Floor, 00-1e-2a-c9-8e-30
Juniper Green Primary School,JUNI,10.203.44.73,FS750T2, JG_PS_Cab_B_04, Cab B-Ground Floor, 00-1e-2a-bc-16-00
Juniper Green Primary School,JUNI,10.203.44.74,FS750T2, JG_PS_Cab_A_01, Cab_A_First_Floor, 00-1e-2a-c9-8e-2e
Juniper Green Primary School,JUNI,10.203.44.75,FS750T2, JG_PS_Cab_A_02, Cab_A_First_Floor, 00-1e-2a-c9-8d-e7
Juniper Green Primary School,JUNI,10.203.44.76,FS750T2, JG_PS_Cab_A_03, Cab_A_First_Floor, 00-1e-2a-c9-8e-0e
Juniper Green Primary School,JUNI,10.203.44.77,FS750T2, JG_PS_Cab_B_05, Cab_B Ground Floor, 00-1e-2a-bc-15-41
=======
